date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,11.7,7.8,16.7,0,,316,11.2,,1011.3,
2023-01-02,8.8,7.2,11.1,10.4,,67,16.6,,1011.2,
2023-01-03,9.7,7.2,12.8,0,,54,12.2,,1015,
2023-01-04,12.2,8.9,15,35.6,,133,27.4,,1007.3,
2023-01-05,12.5,10.6,14.4,8.1,,205,23.8,,1012.5,
2023-01-06,12.6,10,15.6,0,,137,14.4,,1022.8,
2023-01-07,12.7,10.6,15,3,,133,28.1,,1014.9,
2023-01-08,13.7,11.1,16.7,20.1,,154,19.8,,1014.8,
2023-01-09,12.9,10.6,15,30.2,,147,14,,1007.7,
2023-01-10,12.2,8.9,13.9,9.4,,200,29.2,,1009.7,
2023-01-11,12.3,10.6,15,7.4,,138,26.6,,1018.4,
2023-01-12,15.3,12.2,19.4,0,,129,15.1,,1019.1,
2023-01-13,13.5,11.7,15.6,10.2,,155,18,,1015.7,
2023-01-14,12.7,10,14.4,25.1,,202,23,,1006.5,
2023-01-15,10.3,8.3,12.2,24.1,,149,17.3,,1005.2,
2023-01-16,10.3,7.2,13.3,24.1,,312,24.8,,1005.4,
2023-01-17,8.3,3.3,12.2,0,,351,5.4,,1016.6,
2023-01-18,9.6,4.4,13.3,2.8,,148,11.5,,1021.4,
2023-01-19,8.7,5,11.7,0,,347,9,,1023.4,
2023-01-20,8.7,3.9,12.8,0,,21,12.6,,1026.4,
2023-01-21,7.3,0.6,13.3,0,,345,6.1,,1028.9,
2023-01-22,10.2,3.3,16.1,0,,5,14.8,,1022.8,
2023-01-23,11.1,5,17.2,0,,351,11.2,,1021.4,
2023-01-24,10.8,5.6,16.1,0,,13,9.4,,1027.2,
2023-01-25,11.5,3.9,18.3,0,,342,6.5,,1027.6,
2023-01-26,14.6,7.8,20.6,0,,19,13.7,,1029.1,
2023-01-27,8.7,4.4,13.9,0,,352,8.6,,1022.5,
2023-01-28,8.7,5,12.8,0,,232,11.2,,1016.2,
2023-01-29,8.9,6.7,10.6,0,,331,18,,1011.6,
2023-01-30,7.5,1.7,12.8,0,,43,10.4,,1018.7,
2023-01-31,7.4,0,13.9,0,,351,6.5,,1022.3,
2023-02-01,7.4,1.7,13.3,0,,20,9,,1022.9,
2023-02-02,9.4,2.8,14.4,0,,36,7.6,,1023.9,
2023-02-03,11,8.9,13.9,10.9,,11,10.8,,1023.4,
2023-02-04,11.8,9.4,15,5.1,,147,16.2,,1019.2,
2023-02-05,10.8,6.7,13.3,2.8,,299,22.3,,1024.1,
2023-02-06,9.4,5,15,0,,339,7.9,,1028.9,
2023-02-07,9.2,3.3,15,0,,344,6.8,,1027.9,
2023-02-08,10.2,3.9,16.7,0,,337,5.4,,1027.4,
2023-02-09,10,3.9,17.8,0,,339,6.5,,1025.3,
2023-02-10,9.4,3.3,14.4,0,,310,13,,1021.9,
2023-02-11,9.7,6.7,13.9,1.3,,351,13.7,,1015,
2023-02-12,9.8,3.3,17.2,0,,333,7.6,,1014.8,
2023-02-13,10.1,4.4,16.1,0,,325,15.5,,1012.9,
2023-02-14,9.1,6.7,12.8,0,,324,23.8,,1017.8,
2023-02-15,9.1,2.8,13.9,0,,347,11.5,,1024,
2023-02-16,7.2,1.1,12.8,0,,5,6.1,,1023.9,
2023-02-17,9.1,3.3,17.8,0,,69,8.6,,1019.9,
2023-02-18,9.1,1.1,16.1,0,,344,6.1,,1018.5,
2023-02-19,9.5,2.2,16.7,0,,345,4.3,,1019.1,
2023-02-20,11,4.4,18.9,0,,336,6.1,,1019.9,
2023-02-21,10,5.6,15,0,,322,31,,1010.5,
2023-02-22,7.7,6.1,11.1,0,,297,29.9,,1009.1,
2023-02-23,7.1,4.4,10.6,6.1,,204,25.6,,1009.8,
2023-02-24,6.4,4.4,9.4,15.7,,96,19.1,,1006.4,
2023-02-25,7.1,3.9,10.6,0,,288,9,,1012.7,
2023-02-26,8.7,6.7,10,10.2,,182,20.2,,1016.6,
